date,description,paid_by,amount,currency,split_type,split_with,split_details,notes
2026-02-01,February Rent,Aisha,48000,INR,equal,"Aisha;Rohan;Priya;Meera",,
2026-02-03,Groceries BigBasket,Priya,2340,INR,equal,"Aisha;Rohan;Priya;Meera",,
2026-02-05,Wifi Bill Feb,Rohan,1199,INR,equal,"Aisha;Rohan;Priya;Meera",,
2026-02-08,Dinner at Marina Bites,Aisha,3200,INR,equal,"Aisha;Rohan;Priya;Meera",,
2026-02-08,dinner - marina bites,Aisha,3200,INR,equal,"Aisha;Rohan;Priya;Meera",Possible duplicate,
2026-02-10,Electricity Feb,Aisha,"1,200",INR,equal,"Aisha;Rohan;Priya;Meera",Amount formatting issue,
2026-02-14,Movie Night Snacks,priya,640,INR,equal,"Aisha;Rohan;Priya",Name inconsistency,
2026-02-15,Cylinder Refill,Rohan,899.995,INR,equal,"Aisha;Rohan;Priya;Meera",Precision anomaly,
2026-02-22,House Cleaning Supplies,,780,INR,equal,"Aisha;Rohan;Priya;Meera",Missing paid_by,
2026-02-25,Rohan Paid Aisha Back,Rohan,5000,INR,,"Aisha",Settlement disguised as expense,
2026-04-18,April Electricity,Aisha,1450,INR,equal,"Aisha;Rohan;Priya;Sam",Sam joined mid-April,
2026-04-20,Welcome Dinner,Sam,2800,INR,percentage,"Aisha;Rohan;Priya;Sam","Aisha 25%; Rohan 25%; Priya 25%; Sam 35%",Percentages exceed 100%
